date,open,high,low,volume,close
11/24/1993,26.6944,26.7483,26.6584,77200,26.7303
11/26/1993,26.8022,26.8022,26.7303,1019800,26.7483
11/29/1993,26.8202,26.8741,26.6405,517500,26.6405
11/30/1993,26.6224,26.7843,26.6045,230000,26.6584
12/1/1993,26.8022,26.8202,26.6944,379200,26.6944
12/2/1993,26.7483,26.7843,26.6944,352000,26.7663
12/3/1993,26.7483,26.8741,26.7483,306000,26.8741
12/6/1993,26.9101,27,26.9101,99500,26.964
12/7/1993,26.964,26.982,26.9101,88800,26.946
12/8/1993,26.946,26.946,26.9101,146700,26.946
12/9/1993,26.946,26.982,26.8202,416500,26.8562
12/10/1993,26.8741,26.8741,26.7483,412900,26.8022
12/13/1993,26.8022,26.964,26.7663,273200,26.964
12/14/1993,26.982,26.982,26.7663,41900,26.7663
12/15/1993,26.8022,26.8202,26.7303,82600,26.7303
12/16/1993,26.8382,26.8382,26.7843,78200,26.8202
12/17/1993,26.8761,26.9847,26.858,104700,26.9666
12/20/1993,26.9485,27.0209,26.9304,68800,27.0028
12/21/1993,26.9666,26.9666,26.8761,205700,26.9123
12/22/1993,26.9847,27.1114,26.9304,410300,27.0933
12/23/1993,27.0752,27.1295,27.039,533800,27.0752
12/27/1993,27.0752,27.22,27.0752,447100,27.22
12/28/1993,27.2019,27.2924,27.1838,880600,27.2743
12/29/1993,27.2924,27.3104,27.22,266700,27.2381
12/30/1993,27.22,27.22,27.0752,219900,27.1295
12/31/1993,27.1838,27.22,26.9666,312900,26.9847
1/3/1994,26.9847,27.0209,26.8761,960900,26.9123
1/4/1994,26.9485,27.0209,26.9123,164300,27.0209
1/5/1994,27.0571,27.0933,26.9485,710900,27.0752
1/6/1994,27.1114,27.1295,27.039,201000,27.0752
1/7/1994,27.1295,27.2562,27.0571,775500,27.2381
1/10/1994,27.2743,27.5638,27.2019,593700,27.5638
1/11/1994,27.5458,27.5458,27.419,295200,27.5096
1/12/1994,27.5276,27.5276,27.3286,158400,27.419
1/13/1994,27.3466,27.401,27.3104,244300,27.3466
1/14/1994,27.4372,27.5096,27.4372,137200,27.4552
