date,open,high,low,close,volume
1/28/2019,242.5842,242.9894,241.1106,242.925,85170996
1/29/2019,243.0723,243.6526,241.7461,242.6026,65933663
1/30/2019,244.1591,247.309,243.3763,246.4432,92297463
1/31/2019,246.3787,249.1049,246.1577,248.6076,104012073
2/1/2019,248.8102,249.7773,247.9168,248.7273,85754736
2/4/2019,248.7734,250.5417,248.0826,250.4772,60688331
2/5/2019,250.9193,251.8403,250.4035,251.5272,79514212
2/6/2019,251.2417,251.7482,250.4404,251.1956,58289937
2/7/2019,249.5378,250.0996,247.0971,248.801,95300784
2/8/2019,247.5208,249.2062,246.6735,249.1049,75769705
2/11/2019,249.7773,250.0443,248.6997,249.2431,68021423
2/12/2019,250.9009,252.835,250.8272,252.4482,72060303
2/13/2019,253.3047,254.1336,252.8718,253.2679,65155977
2/14/2019,252.1535,253.8665,251.3153,252.7061,83057129
2/15/2019,254.5297,255.4967,254.3178,255.4599,96950082
2/19/2019,254.6414,256.5743,254.631,255.902,59120804
2/20/2019,255.8651,256.8874,255.3493,256.4177,76610767
2/21/2019,255.7638,256.1322,254.5158,255.5059,64214727
2/22/2019,256.1414,257.2927,255.4902,257.0901,78086268
2/25/2019,258.5545,259.0886,257.3571,257.44,69030699
2/26/2019,257.0808,258.1584,256.869,257.2558,56778902
2/27/2019,256.519,257.5045,255.5612,257.1453,56820264
2/28/2019,256.9243,257.3756,256.3348,256.6664,69199600
3/1/2019,258.2874,258.6926,256.7953,258.2689,77748145
3/4/2019,259.3557,259.6044,254.9717,257.3295,106400309
3/5/2019,257.4585,257.6611,256.4177,256.9795,59114559
3/6/2019,257.0993,257.1085,255.0915,255.423,75039771
3/7/2019,254.9625,255.1099,252.4205,253.2863,94728372
3/8/2019,251.3798,252.9547,250.9009,252.7797,85759227
3/11/2019,253.5165,256.6111,253.4889,256.4453,64925449
3/12/2019,257.0164,257.9466,256.823,257.4124,79591019
3/13/2019,258.3242,260.0741,258.1584,259.1163,80520845
3/14/2019,259.1439,259.5768,258.4957,258.9505,67474399
3/15/2019,259.512,261.0569,259.3178,260.2243,81308979
3/18/2019,260.4463,261.4731,260.2151,261.1679,62152857
3/19/2019,262.2594,263.0457,260.3168,261.2326,90220528
3/20/2019,261.0106,262.2502,259.3085,260.4463,84516510
3/21/2019,259.6046,263.8043,259.5583,263.388,79503084
3/22/2019,261.9912,262.5308,258.254,258.3187,122584329
3/25/2019,257.9672,259.1839,256.8294,258.1245,85312509
3/26/2019,259.9283,261.0291,258.6055,260.0486,68047406
3/27/2019,260.0393,260.6406,257.0977,258.6888,72174824
3/28/2019,259.3363,260.1318,258.1522,259.6693,56107818
3/29/2019,261.2234,261.6397,260.0671,261.3066,82160899
4/1/2019,263.3602,264.7108,263.0827,264.4055,77617945
4/2/2019,264.5998,264.7756,263.721,264.535,40021425
4/3/2019,265.7839,266.1909,264.3315,264.9513,68183165
4/4/2019,265.2843,265.9124,264.572,265.6543,48960844
4/5/2019,266.3389,266.9957,266.0429,266.9402,58559409
4/8/2019,266.5054,267.2547,265.8301,267.1437,53524986
4/9/2019,266.1539,266.4869,265.2103,265.7746,66113303
4/10/2019,266.2001,266.7736,265.7746,266.6811,52601499
4/11/2019,267.1807,267.1899,266.0225,266.6071,55045415
